ax,ay,az,gx,gy,gz,target,target_name
0.13,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.13,0.0,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,0.03,9.68,-0.02,-0.05,-0.06,0.0,quiet
0.12,0.01,9.68,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.66,-0.01,-0.05,-0.06,0.0,quiet
0.1,-0.0,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.0,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.01,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.69,-0.02,-0.05,-0.05,0.0,quiet
0.11,0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
-0.03,-0.03,9.66,0.0,-0.06,-0.06,0.0,quiet
-0.1,-0.13,9.7,-0.04,-0.05,-0.13,0.0,quiet
-0.06,-0.01,9.82,-0.16,-0.09,-0.21,0.0,quiet
0.07,0.11,9.83,-0.2,-0.13,-0.27,0.0,quiet
0.18,-0.03,9.62,-0.24,-0.15,-0.24,0.0,quiet
0.82,-0.11,9.17,-0.15,-0.08,-0.15,0.0,quiet
0.24,-0.06,9.62,0.04,0.03,0.0,0.0,quiet
0.27,-0.27,9.44,0.09,0.05,-0.01,0.0,quiet
-0.13,-0.04,10.16,0.05,-0.01,-0.04,0.0,quiet
0.18,-0.05,9.58,0.01,-0.06,-0.06,0.0,quiet
0.15,-0.45,9.34,0.04,-0.06,-0.06,0.0,quiet
0.13,-0.08,9.6,0.13,-0.06,-0.05,0.0,quiet
0.12,-0.11,9.6,0.22,-0.07,-0.08,0.0,quiet
0.06,-0.18,9.59,0.34,-0.07,-0.14,0.0,quiet
0.29,0.25,9.69,0.29,-0.11,-0.27,0.0,quiet
0.15,0.1,9.6,0.17,-0.1,-0.33,0.0,quiet
0.08,0.15,9.68,0.12,-0.09,-0.33,0.0,quiet
0.17,0.41,9.69,0.06,-0.07,-0.3,0.0,quiet
0.15,0.2,9.7,-0.0,-0.06,-0.27,0.0,quiet
0.12,0.1,9.65,-0.01,-0.06,-0.26,0.0,quiet
